domain,pair,viewA,viewB,cond,matches,mean_conf,inliers
Indoor,pair12,00037_11_00100_0.01_Indoor.jpg,00038_11_00100_0.01_Indoor.jpg,orig,7,0.4869917035102844,0
Indoor,pair12,00037_11_00100_0.01_Indoor.jpg,00038_11_00100_0.01_Indoor.jpg,stageA,15,0.40779274702072144,0
Indoor,pair12,00037_11_00100_0.01_Indoor.jpg,00038_11_00100_0.01_Indoor.jpg,stageB,66,0.46976038813591003,0
Indoor,pair12,00037_11_01600_0.01_Indoor.jpg,00038_11_01600_0.01_Indoor.jpg,orig,8,0.4995120167732239,0
Indoor,pair12,00037_11_01600_0.01_Indoor.jpg,00038_11_01600_0.01_Indoor.jpg,stageA,205,0.3265842795372009,0
Indoor,pair12,00037_11_01600_0.01_Indoor.jpg,00038_11_01600_0.01_Indoor.jpg,stageB,701,0.33235102891921997,0
Indoor,pair12,00037_11_12800_1_Indoor.jpg,00038_11_12800_1_Indoor.jpg,orig,3884,0.4988808035850525,0
Indoor,pair12,00037_11_12800_1_Indoor.jpg,00038_11_12800_1_Indoor.jpg,stageA,4233,0.5332377552986145,0
Indoor,pair12,00037_11_12800_1_Indoor.jpg,00038_11_12800_1_Indoor.jpg,stageB,3537,0.5007002353668213,0
Indoor,pair21,00065_11_00100_0.005_Indoor.jpg,00066_11_00100_0.005_Indoor.jpg,orig,7,0.4869917035102844,0
Indoor,pair21,00065_11_00100_0.005_Indoor.jpg,00066_11_00100_0.005_Indoor.jpg,stageA,15,0.4066196382045746,0
Indoor,pair21,00065_11_00100_0.005_Indoor.jpg,00066_11_00100_0.005_Indoor.jpg,stageB,66,0.4695858359336853,0
Indoor,pair21,00065_11_01600_0.005_Indoor.jpg,00066_11_01600_0.005_Indoor.jpg,orig,8,0.5025282502174377,0
Indoor,pair21,00065_11_01600_0.005_Indoor.jpg,00066_11_01600_0.005_Indoor.jpg,stageA,199,0.322445273399353,1
Indoor,pair21,00065_11_01600_0.005_Indoor.jpg,00066_11_01600_0.005_Indoor.jpg,stageB,674,0.34113094210624695,0
Indoor,pair21,00065_11_12800_0.5_Indoor.jpg,00066_11_12800_0.5_Indoor.jpg,orig,2102,0.5217826962471008,0
Indoor,pair21,00065_11_12800_0.5_Indoor.jpg,00066_11_12800_0.5_Indoor.jpg,stageA,2680,0.529966413974762,0
Indoor,pair21,00065_11_12800_0.5_Indoor.jpg,00066_11_12800_0.5_Indoor.jpg,stageB,2152,0.5121338367462158,0
Indoor,pair33,00103_11_00100_0.005_Indoor.jpg,00104_11_00100_0.005_Indoor.jpg,orig,7,0.4869917035102844,0
Indoor,pair33,00103_11_00100_0.005_Indoor.jpg,00104_11_00100_0.005_Indoor.jpg,stageA,14,0.42136380076408386,0
Indoor,pair33,00103_11_00100_0.005_Indoor.jpg,00104_11_00100_0.005_Indoor.jpg,stageB,65,0.47370317578315735,1
Indoor,pair33,00103_11_01600_0.005_Indoor.jpg,00104_11_01600_0.005_Indoor.jpg,orig,6,0.521407961845398,0
Indoor,pair33,00103_11_01600_0.005_Indoor.jpg,00104_11_01600_0.005_Indoor.jpg,stageA,169,0.3230659067630768,0
Indoor,pair33,00103_11_01600_0.005_Indoor.jpg,00104_11_01600_0.005_Indoor.jpg,stageB,776,0.3444644808769226,2
Indoor,pair33,00103_11_12800_0.5_Indoor.jpg,00104_11_12800_0.5_Indoor.jpg,orig,2208,0.4697055518627167,0
Indoor,pair33,00103_11_12800_0.5_Indoor.jpg,00104_11_12800_0.5_Indoor.jpg,stageA,2598,0.45696526765823364,3
Indoor,pair33,00103_11_12800_0.5_Indoor.jpg,00104_11_12800_0.5_Indoor.jpg,stageB,1638,0.4521636664867401,0
Indoor,pair47,00135_11_00100_0.005_Indoor.jpg,00136_11_00100_0.005_Indoor.jpg,orig,7,0.487861305475235,0
Indoor,pair47,00135_11_00100_0.005_Indoor.jpg,00136_11_00100_0.005_Indoor.jpg,stageA,33,0.4701349437236786,0
Indoor,pair47,00135_11_00100_0.005_Indoor.jpg,00136_11_00100_0.005_Indoor.jpg,stageB,100,0.47356006503105164,0
Indoor,pair47,00135_11_01600_0.005_Indoor.jpg,00136_11_01600_0.005_Indoor.jpg,orig,9,0.41977888345718384,0
Indoor,pair47,00135_11_01600_0.005_Indoor.jpg,00136_11_01600_0.005_Indoor.jpg,stageA,176,0.33763307332992554,1
Indoor,pair47,00135_11_01600_0.005_Indoor.jpg,00136_11_01600_0.005_Indoor.jpg,stageB,628,0.3422723710536957,1
Indoor,pair47,00135_11_12800_0.5_Indoor.jpg,00136_11_12800_0.5_Indoor.jpg,orig,3650,0.608889639377594,6
Indoor,pair47,00135_11_12800_0.5_Indoor.jpg,00136_11_12800_0.5_Indoor.jpg,stageA,3820,0.6072667837142944,5
Indoor,pair47,00135_11_12800_0.5_Indoor.jpg,00136_11_12800_0.5_Indoor.jpg,stageB,3500,0.5884572267532349,5
Indoor,pair5,00013_11_00100_0.01_Indoor.jpg,00014_11_00100_0.01_Indoor.jpg,orig,7,0.48792722821235657,2
Indoor,pair5,00013_11_00100_0.01_Indoor.jpg,00014_11_00100_0.01_Indoor.jpg,stageA,16,0.405333012342453,3
Indoor,pair5,00013_11_00100_0.01_Indoor.jpg,00014_11_00100_0.01_Indoor.jpg,stageB,82,0.4397734999656677,5
Indoor,pair5,00013_11_01600_0.01_Indoor.jpg,00014_11_01600_0.01_Indoor.jpg,orig,9,0.5002123117446899,2
Indoor,pair5,00013_11_01600_0.01_Indoor.jpg,00014_11_01600_0.01_Indoor.jpg,stageA,197,0.32527586817741394,4
Indoor,pair5,00013_11_01600_0.01_Indoor.jpg,00014_11_01600_0.01_Indoor.jpg,stageB,715,0.3413907587528229,3
Indoor,pair5,00013_11_12800_1_Indoor.jpg,00014_11_12800_1_Indoor.jpg,orig,2293,0.524340033531189,15
Indoor,pair5,00013_11_12800_1_Indoor.jpg,00014_11_12800_1_Indoor.jpg,stageA,1659,0.5343484282493591,10
Indoor,pair5,00013_11_12800_1_Indoor.jpg,00014_11_12800_1_Indoor.jpg,stageB,2162,0.5809326171875,16
Outdoor,pair12,00029_11_00100_0.005_Outdoor.jpg,00030_11_00100_0.005_Outdoor.jpg,orig,7,0.49308305978775024,0
Outdoor,pair12,00029_11_00100_0.005_Outdoor.jpg,00030_11_00100_0.005_Outdoor.jpg,stageA,36,0.43672701716423035,0
Outdoor,pair12,00029_11_00100_0.005_Outdoor.jpg,00030_11_00100_0.005_Outdoor.jpg,stageB,135,0.4610602557659149,0
Outdoor,pair12,00029_11_01600_0.005_Outdoor.jpg,00030_11_01600_0.005_Outdoor.jpg,orig,99,0.49872666597366333,0
Outdoor,pair12,00029_11_01600_0.005_Outdoor.jpg,00030_11_01600_0.005_Outdoor.jpg,stageA,395,0.3962317705154419,0
Outdoor,pair12,00029_11_01600_0.005_Outdoor.jpg,00030_11_01600_0.005_Outdoor.jpg,stageB,827,0.36121395230293274,1
Outdoor,pair12,00029_11_12800_0.5_Outdoor.jpg,00030_11_12800_0.5_Outdoor.jpg,orig,3935,0.6509740948677063,0
Outdoor,pair12,00029_11_12800_0.5_Outdoor.jpg,00030_11_12800_0.5_Outdoor.jpg,stageA,3732,0.6348752379417419,0
Outdoor,pair12,00029_11_12800_0.5_Outdoor.jpg,00030_11_12800_0.5_Outdoor.jpg,stageB,3639,0.626435399055481,0
Outdoor,pair21,00051_08_00100_0.005_Outdoor.jpg,00052_08_00100_0.005_Outdoor.jpg,orig,7,0.4888283312320709,0
Outdoor,pair21,00051_08_00100_0.005_Outdoor.jpg,00052_08_00100_0.005_Outdoor.jpg,stageA,14,0.41017502546310425,0
Outdoor,pair21,00051_08_00100_0.005_Outdoor.jpg,00052_08_00100_0.005_Outdoor.jpg,stageB,52,0.4877569079399109,4
Outdoor,pair21,00051_08_01600_0.005_Outdoor.jpg,00052_08_01600_0.005_Outdoor.jpg,orig,15,0.5283768177032471,0
Outdoor,pair21,00051_08_01600_0.005_Outdoor.jpg,00052_08_01600_0.005_Outdoor.jpg,stageA,209,0.3314577639102936,0
Outdoor,pair21,00051_08_01600_0.005_Outdoor.jpg,00052_08_01600_0.005_Outdoor.jpg,stageB,668,0.3312169015407562,1
Outdoor,pair21,00051_08_12800_0.5_Outdoor.jpg,00052_08_12800_0.5_Outdoor.jpg,orig,1431,0.4863617420196533,1
Outdoor,pair21,00051_08_12800_0.5_Outdoor.jpg,00052_08_12800_0.5_Outdoor.jpg,stageA,1473,0.4778154492378235,1
Outdoor,pair21,00051_08_12800_0.5_Outdoor.jpg,00052_08_12800_0.5_Outdoor.jpg,stageB,1224,0.4777011275291443,1
Outdoor,pair33,00091_08_00100_0.005_Outdoor.jpg,00092_08_00100_0.005_Outdoor.jpg,orig,7,0.4869917035102844,0
Outdoor,pair33,00091_08_00100_0.005_Outdoor.jpg,00092_08_00100_0.005_Outdoor.jpg,stageA,14,0.42216968536376953,0
Outdoor,pair33,00091_08_00100_0.005_Outdoor.jpg,00092_08_00100_0.005_Outdoor.jpg,stageB,65,0.47305071353912354,0
Outdoor,pair33,00091_08_01600_0.005_Outdoor.jpg,00092_08_01600_0.005_Outdoor.jpg,orig,7,0.5310674905776978,0
Outdoor,pair33,00091_08_01600_0.005_Outdoor.jpg,00092_08_01600_0.005_Outdoor.jpg,stageA,223,0.33684754371643066,1
Outdoor,pair33,00091_08_01600_0.005_Outdoor.jpg,00092_08_01600_0.005_Outdoor.jpg,stageB,698,0.3440530002117157,3
Outdoor,pair33,00091_08_12800_0.5_Outdoor.jpg,00092_08_12800_0.5_Outdoor.jpg,orig,3496,0.5585843920707703,0
Outdoor,pair33,00091_08_12800_0.5_Outdoor.jpg,00092_08_12800_0.5_Outdoor.jpg,stageA,3319,0.5570070147514343,1
Outdoor,pair33,00091_08_12800_0.5_Outdoor.jpg,00092_08_12800_0.5_Outdoor.jpg,stageB,3259,0.5522335171699524,3
Outdoor,pair47,00123_11_00100_0.005_Outdoor.jpg,00124_11_00100_0.005_Outdoor.jpg,orig,6,0.5348576903343201,0
Outdoor,pair47,00123_11_00100_0.005_Outdoor.jpg,00124_11_00100_0.005_Outdoor.jpg,stageA,112,0.41581040620803833,0
Outdoor,pair47,00123_11_00100_0.005_Outdoor.jpg,00124_11_00100_0.005_Outdoor.jpg,stageB,239,0.43983200192451477,0
Outdoor,pair47,00123_11_01600_0.005_Outdoor.jpg,00124_11_01600_0.005_Outdoor.jpg,orig,49,0.5502220988273621,0
Outdoor,pair47,00123_11_01600_0.005_Outdoor.jpg,00124_11_01600_0.005_Outdoor.jpg,stageA,215,0.3956294655799866,0
Outdoor,pair47,00123_11_01600_0.005_Outdoor.jpg,00124_11_01600_0.005_Outdoor.jpg,stageB,682,0.3570842444896698,0
Outdoor,pair47,00123_11_12800_0.5_Outdoor.jpg,00124_11_12800_0.5_Outdoor.jpg,orig,4516,0.5610958337783813,0
Outdoor,pair47,00123_11_12800_0.5_Outdoor.jpg,00124_11_12800_0.5_Outdoor.jpg,stageA,4215,0.5551798343658447,0
Outdoor,pair47,00123_11_12800_0.5_Outdoor.jpg,00124_11_12800_0.5_Outdoor.jpg,stageB,3277,0.5293826460838318,0
Outdoor,pair5,00009_11_00100_0.005_Outdoor.jpg,00010_11_00100_0.005_Outdoor.jpg,orig,7,0.4869917035102844,0
